,,Date,16_1,16_1,16_1,16_1,16_1,16_2,16_2,16_2,16_2,16_2,16_3,16_3,16_3,16_3,16_3,16_4,16_4,16_4,16_4,16_4,16_5,16_5,16_5,16_5,16_5,16_6,16_6,16_6,16_6,16_6,16_7,16_7,16_7,16_7,16_7,16_8,16_8,16_8,16_8,16_8,16_9,16_9,16_9,16_9,16_9,16_10,16_10,16_10,16_10,16_10,16_11,16_11,16_11,16_11,16_11,16_12,16_12,16_12,16_12,16_12,17_1,17_1,17_1,17_1,17_1,17_2,17_2,17_2,17_2,17_2,17_3,17_3,17_3,17_3,17_3,17_4,17_4,17_4,17_4,17_4,17_5,17_5,17_5,17_5,17_5,17_6,17_6,17_6,17_6,17_6,17_7,17_7,17_7,17_7,17_7,17_8,17_8,17_8,17_8,17_8,17_9,17_9,17_9,17_9,17_9,17_10,17_10,17_10,17_10,17_10,17_11,17_11,17_11,17_11,17_11,17_12,17_12,17_12,17_12,17_12,18_1,18_1,18_1,18_1,18_1,18_2,18_2,18_2,18_2,18_2,18_3,18_3,18_3,18_3,18_3,18_4,18_4,18_4,18_4,18_4,18_5,18_5,18_5,18_5,18_5,18_6,18_6,18_6,18_6,18_6,18_7,18_7,18_7,18_7,18_7,18_8,18_8,18_8,18_8,18_8,18_9,18_9,18_9,18_9,18_9,18_10,18_10,18_10,18_10,18_10,18_11,18_11,18_11,18_11,18_11,18_12,18_12,18_12,18_12,18_12
코드,sex,age,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금
B301,total,total,2602,4200,4163,75747,55239,2152,3283,3274,57777,41607,2098,3489,3488,58802,42272,2569,4144,4142,70610,51402,2816,4705,4678,82126,59882,3016,5224,5210,88762,64304,3259,5746,5719,98170,71787,4723,8408,8367,143219,104944,5122,10025,9976,168567,123478,3689,7619,7598,125520,91506,2726,5475,5465,89816,65396,2327,4421,4423,71406,51724,1847,3194,3194,54110,39025,1641,2878,2878,49707,35651,1892,3405,3402,58516,41946,2279,3758,3758,66798,47768,2832,4783,4783,84183,60323,2618,4706,4702,82093,59154,2873,5129,5119,90789,65656,3757,6765,6758,118194,85274,3518,6980,6969,118565,86167,2559,4684,4681,83282,59530,2183,3881,3856,72466,53029,2243,3580,3580,64988,46407,2318,3816,3823,71019,51667,2097,3500,3495,65198,48014,2186,3793,3813,70103,51075,2972,4683,4680,88329,64117,3690,5762,5757,111114,80559,3496,5898,5898,112843,82049,3816,6739,6717,133061,97681,5528,9414,9312,198519,147540,5679,10226,10202,194870,141641,4630,8212,8129,169442,125239,3555,5872,5802,126127,93402,3220,5210,5174,102737,75748
B301,male,total,1238,2073,2045,37787,27692,1039,1619,1616,28528,20422,1068,1763,1762,29805,21468,1322,2174,2171,37370,27276,1480,2464,2447,43856,31993,1511,2672,2672,44405,32072,1701,2968,2961,50796,36908,2459,4344,4322,74384,54529,2640,5141,5108,88144,64943,1903,3975,3966,65718,48050,1415,2837,2830,47273,34572,1149,2234,2235,35946,25985,899,1558,1558,26419,19065,805,1429,1429,24936,17909,954,1739,1736,30278,21690,1154,1909,1909,34001,24330,1433,2473,2473,43737,31331,1338,2397,2393,42412,30579,1468,2578,2578,45356,32711,1922,3403,3396,60436,43693,1743,3330,3322,57576,41868,1364,2551,2551,44912,32014,1083,1992,1982,35941,26070,1079,1741,1741,31390,22396,1070,1792,1792,32564,23628,982,1663,1659,31574,23164,1020,1830,1843,33521,24336,1382,2197,2194,41811,30419,1738,2752,2747,53693,39101,1721,2914,2914,56373,40930,1917,3358,3353,66855,48980,2776,4781,4727,102559,76623,2828,5024,5008,97455,70808,2277,4071,4022,84992,63320,1643,2731,2707,58481,43231,1512,2472,2452,49446,36663
B301,male,0_9,283,515,487,11593,9225,222,348,345,6158,4770,226,402,401,6792,5224,357,595,591,10809,8368,393,737,719,14146,11004,407,749,749,12254,9307,449,778,771,14199,10822,896,1628,1606,29649,22824,922,1993,1960,36354,28210,534,1323,1314,21949,16929,354,892,885,15090,11763,254,532,532,8263,6275,195,344,344,6032,4560,163,283,283,4874,3713,222,406,403,7252,5540,294,474,474,8601,6531,339,639,639,10794,8146,293,578,574,10465,7992,363,663,663,11459,8721,562,1062,1055,19511,14843,514,1036,1028,18514,14164,335,727,727,12370,9267,278,557,547,11335,8829,260,437,437,7850,5862,193,312,312,5534,4222,182,318,314,6672,5291,224,382,387,7169,5410,387,643,640,12152,9384,506,816,811,16198,12456,503,889,889,16690,12735,593,1065,1060,21291,16567,996,1838,1782,45002,35807,955,1780,1764,34863,26265,600,1130,1081,28955,23309,476,820,799,19780,15453,409,665,648,15640,12414
B301,male,10_19,89,148,148,2460,1727,84,139,139,2268,1578,90,133,133,2373,1659,110,196,196,3160,2256,130,226,227,3920,2721,161,284,284,4741,3315,186,334,334,5434,3853,279,539,539,8500,5988,345,737,737,11799,8301,296,654,654,10618,7511,224,449,449,7354,5194,168,348,348,5372,3798,88,147,147,2445,1702,61,112,112,1812,1263,97,213,213,3556,2442,141,275,275,4816,3320,159,300,300,5254,3673,180,329,329,5639,4001,177,306,306,5285,3752,235,407,407,6905,4845,224,439,439,6987,4907,163,322,322,5572,3919,133,264,264,4228,2921,111,213,213,3546,2499,85,147,147,2605,1822,65,126,126,2207,1567,85,174,182,3199,2261,135,213,213,4326,2928,193,336,336,6404,4414,188,360,360,6654,4641,203,372,372,6981,4910,308,551,551,10414,7344,311,579,579,10678,7484,231,445,445,8420,5939,157,303,300,6417,4775,138,255,252,4983,3684
B301,male,20_29,104,143,143,2522,1768,121,173,173,3026,2124,132,185,185,3269,2294,135,188,188,3217,2249,162,216,216,3858,2696,142,220,220,3809,2670,168,268,268,4536,3176,194,302,302,5082,3568,196,294,294,5022,3540,151,214,214,3617,2533,125,186,186,3173,2227,111,193,193,3137,2183,96,179,179,2969,2081,72,96,96,1815,1254,103,153,153,2819,1936,117,162,162,3003,2099,119,174,174,3124,2162,103,167,167,2932,2032,158,247,247,4516,3142,184,267,267,4730,3296,165,274,274,4652,3241,135,206,206,3916,2677,106,166,166,3019,2062,92,135,135,2483,1717,109,162,162,3180,2216,118,169,169,3162,2209,104,167,167,2957,2073,124,184,184,3435,2389,151,198,198,3749,2596,149,215,215,4380,3024,152,250,250,5067,3532,223,326,326,7034,4834,195,327,327,6180,4303,187,268,268,5093,3552,138,217,217,4355,3032,120,181,181,3242,2245
B301,male,30_39,249,421,421,7041,4916,212,311,311,5526,3769,198,336,336,5636,3951,241,368,368,6255,4371,251,379,379,6537,4545,287,455,455,7765,5403,274,444,444,7807,5451,376,616,616,10502,7323,417,704,704,11950,8328,315,557,557,9136,6405,235,412,412,6777,4740,190,334,334,5688,4000,154,260,260,4504,3152,132,231,231,4250,2943,153,259,259,4643,3207,164,269,269,4725,3255,234,377,377,6743,4628,226,367,367,6553,4547,230,412,412,7550,5198,275,455,455,8108,5627,295,496,496,8803,6135,249,443,443,7707,5340,195,301,301,5367,3743,199,277,277,5343,3716,195,327,327,5982,4174,147,227,227,4264,2968,159,252,252,4530,3156,229,329,329,6421,4483,272,401,401,7729,5388,289,473,473,9182,6402,301,537,537,10373,7236,483,750,750,14272,9956,524,814,814,15886,11089,511,859,859,15741,10993,329,517,517,9710,6782,304,462,462,8668,6016
B301,male,40_49,211,355,355,6011,4178,171,277,277,4948,3454,176,300,300,5009,3490,199,342,343,5967,4164,227,366,366,6314,4409,199,362,362,6082,4240,257,434,434,7326,5136,311,507,507,8575,5995,361,637,637,10703,7472,255,479,479,8158,5674,187,344,344,5543,3844,147,258,259,4292,3009,141,233,233,4020,2816,122,211,211,3838,2665,140,243,243,4251,2931,164,262,262,4633,3214,228,356,356,6603,4584,194,348,348,6163,4302,195,346,346,6021,4231,255,446,446,7787,5433,229,429,429,7578,5288,223,426,426,7611,5298,151,275,275,4740,3294,178,290,290,5336,3712,184,300,300,5604,3891,163,259,259,5053,3522,165,301,301,5709,3945,228,342,342,6813,4742,265,406,406,7930,5512,242,404,404,8123,5656,287,478,478,9476,6585,358,634,635,12101,8461,393,714,714,13742,9583,364,631,631,12269,8584,257,402,402,8139,5687,259,403,403,7767,5389
B301,male,50_59,160,245,245,4124,2889,104,175,175,3142,2160,118,199,199,3340,2330,142,215,215,3748,2623,161,258,258,4306,2998,132,265,265,4513,3116,176,321,321,5244,3650,188,335,335,5602,3909,197,355,355,5870,4116,171,322,322,5211,3646,129,244,244,4069,2823,116,220,220,3820,2662,90,135,135,2366,1626,112,201,201,3397,2340,108,192,192,3454,2390,143,222,222,3925,2730,176,308,308,5523,3856,153,251,251,4585,3170,161,268,268,4840,3383,182,338,338,6011,4147,154,287,287,5147,3602,122,192,192,3753,2564,98,181,181,3192,2210,124,201,201,3623,2514,128,197,197,3746,2625,130,221,221,4102,2840,134,238,238,4415,3080,135,225,225,4107,2880,160,278,278,5555,3886,170,279,279,5488,3840,186,282,282,6218,4349,185,305,306,6320,4422,204,355,355,7617,5302,151,261,261,4862,3396,124,188,188,4381,3066,128,201,201,3690,2560
B301,male,60_69,97,156,156,2588,1855,81,131,131,2409,1753,89,153,153,2504,1850,81,154,154,2487,1840,96,159,159,2730,1966,107,201,201,3179,2335,116,221,221,3656,2732,144,265,265,4276,3154,129,264,264,4139,3078,114,280,280,4388,3287,104,207,207,3434,2541,103,228,228,3542,2611,78,130,130,2139,1549,91,188,188,3188,2339,70,145,145,2390,1698,79,150,150,2767,1983,104,200,200,3578,2660,115,209,209,3720,2713,103,192,192,3196,2370,134,224,224,3890,2838,101,221,221,3531,2640,75,127,127,2203,1589,78,152,152,2560,1824,76,114,114,1978,1422,112,223,223,3880,2934,121,233,233,4002,3035,91,183,183,3326,2521,87,163,163,2875,2176,115,182,182,3645,2787,107,164,164,3594,2692,112,217,217,4662,3453,146,254,254,4867,3714,164,309,309,5299,4183,155,315,315,5992,4581,97,167,167,3356,2506,93,183,183,3334,2574
