,,date,16_1,16_1,16_1,16_1,16_1,16_2,16_2,16_2,16_2,16_2,16_3,16_3,16_3,16_3,16_3,16_4,16_4,16_4,16_4,16_4,16_5,16_5,16_5,16_5,16_5,16_6,16_6,16_6,16_6,16_6,16_7,16_7,16_7,16_7,16_7,16_8,16_8,16_8,16_8,16_8,16_9,16_9,16_9,16_9,16_9,16_10,16_10,16_10,16_10,16_10,16_11,16_11,16_11,16_11,16_11,16_12,16_12,16_12,16_12,16_12,17_1,17_1,17_1,17_1,17_1,17_2,17_2,17_2,17_2,17_2,17_3,17_3,17_3,17_3,17_3,17_4,17_4,17_4,17_4,17_4,17_5,17_5,17_5,17_5,17_5,17_6,17_6,17_6,17_6,17_6,17_7,17_7,17_7,17_7,17_7,17_8,17_8,17_8,17_8,17_8,17_9,17_9,17_9,17_9,17_9,17_10,17_10,17_10,17_10,17_10,17_11,17_11,17_11,17_11,17_11,17_12,17_12,17_12,17_12,17_12,18_1,18_1,18_1,18_1,18_1,18_2,18_2,18_2,18_2,18_2,18_3,18_3,18_3,18_3,18_3,18_4,18_4,18_4,18_4,18_4,18_5,18_5,18_5,18_5,18_5,18_6,18_6,18_6,18_6,18_6,18_7,18_7,18_7,18_7,18_7,18_8,18_8,18_8,18_8,18_8,18_9,18_9,18_9,18_9,18_9,18_10,18_10,18_10,18_10,18_10,18_11,18_11,18_11,18_11,18_11,18_12,18_12,18_12,18_12,18_12
code,sex,age,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금
J00,total,total,751250,968843,967592,12871666,9592181,813016,1046214,1044804,14394463,10590494,767807,1022562,1021206,13867328,10311082,649889,851926,850876,11744569,8693347,554520,718327,717273,9982192,7410617,441092,565011,564308,7867921,5852219,405386,516112,515486,7291336,5417038,404385,506628,505922,7182545,5323851,537708,682841,682265,9550745,7062887,651421,843752,842839,11553106,8583430,708705,925907,925162,12367102,9197476,940843,1226445,1225253,16707862,12246972,689534,889927,888894,12194784,9091479,584417,755840,755339,10375524,7782413,710712,936431,935359,13108603,9764292,689787,898986,898245,12916781,9539384,572890,740479,739701,10751052,7973429,455249,589563,589016,8559292,6362159,394883,506126,505626,7484538,5563034,428596,539542,538840,7959011,5904408,592209,775546,774959,11235598,8324332,582714,735870,735156,10924362,8090887,741467,974967,973994,13696536,10191273,918068,1183135,1181949,17028038,12541509,971989,1276598,1274732,18350739,13624167,613721,779297,778405,11302059,8455560,625888,820964,820327,12182710,9105138,626402,816328,815648,12152723,9031940,553218,714482,713500,10777865,8028546,427513,554139,553422,8463892,6320242,376666,485859,485215,7429112,5551389,335971,421360,420784,6488475,4838681,515356,657121,656360,10208688,7568537,654421,850355,849522,12504042,9345159,709752,928901,928091,13572931,10122665,833093,1073388,1072429,16027608,11814821
J00,male,total,337279,434521,434163,5779761,4310812,366107,469737,469347,6465474,4762120,345406,460644,460216,6252821,4653649,293775,385897,385558,5328433,3946227,248722,322607,322348,4487469,3334806,199484,256485,256249,3581997,2668596,186878,238763,238520,3383718,2516566,187949,236380,236117,3354375,2488256,245117,312717,312392,4389904,3248535,295175,384623,384137,5261060,3913254,319835,419304,418911,5597547,4169485,425905,554094,553560,7544284,5538196,312162,402323,401963,5524254,4113865,266096,345328,345124,4756220,3565739,320759,423678,423001,5940128,4424553,310170,404993,404672,5818961,4299659,257245,332815,332500,4836668,3585265,206047,267426,267171,3889629,2894021,181657,233371,233199,3453528,2566285,198739,250597,250323,3698913,2743737,269952,355881,355622,5148999,3816756,264610,335407,335029,4990499,3696451,337516,445389,445021,6258837,4660003,417895,537534,537127,7732313,5695890,441682,575947,575222,8301260,6151662,275439,349305,348949,5071548,3790895,281999,371527,371347,5513091,4119809,282311,369379,369115,5501331,4091817,246893,318998,318631,4810010,3586573,192092,249752,249412,3822539,2857071,173003,224268,223983,3429008,2565091,154532,194882,194549,2999673,2238404,233502,299713,299348,4649307,3449839,293698,383440,383042,5634004,4209662,318998,418713,418386,6108090,4556341,377218,485073,484771,7240062,5336890
J00,male,0_9,97851,134887,134782,1868967,1420517,108777,148698,148600,2107816,1595039,134089,197341,197175,2733696,2079602,113418,163579,163427,2276075,1731337,103860,146024,145907,2057036,1568142,93690,128119,127997,1789462,1367438,97441,132032,131922,1858022,1416726,92183,122349,122224,1736163,1324360,101440,139745,139624,1988148,1511947,117022,168636,168533,2345499,1786124,115157,166686,166602,2267855,1725451,123055,176247,176134,2416426,1822836,90079,123062,123022,1748353,1331221,96099,135201,135134,1917206,1463203,115039,168357,168264,2401747,1832400,107195,155309,155187,2233029,1701185,97877,137469,137378,2002286,1528522,93499,130981,130886,1891575,1446833,95564,130274,130194,1905915,1452901,94289,127157,127021,1861921,1420548,110446,159718,159619,2304986,1760792,105324,146476,146293,2203097,1683039,116588,175177,174961,2488723,1901082,113296,162998,162789,2367121,1795345,90112,124417,124206,1860630,1416231,85196,116033,115887,1744101,1329815,109405,161319,161143,2407417,1842341,100440,147114,146830,2199058,1683094,88989,126558,126327,1924459,1476962,83349,117616,117427,1794504,1379326,88975,123783,123596,1865739,1431863,73832,98716,98522,1501878,1149913,98826,139501,139293,2158548,1648343,106244,155330,155138,2296652,1755551,105321,157351,157139,2305747,1759120,100029,145049,144916,2158721,1640294
J00,male,10_19,18454,21485,21469,318479,221534,23045,26742,26743,408756,281394,32438,38228,38170,570289,396947,28481,33680,33655,496236,345456,20208,23139,23126,344197,238960,16155,18521,18503,276262,192285,14161,15998,15994,240036,166824,14364,16200,16171,246003,170627,23207,27405,27383,404341,282660,23711,27723,27691,401355,281633,29594,35091,35075,499387,349441,49183,59801,59765,870618,604440,17330,19945,19898,299905,208218,14479,16571,16564,255228,177301,29696,34715,34702,534996,372270,31037,36621,36601,567674,393193,21157,24341,24317,380442,263468,17095,19672,19646,306591,213134,13881,15725,15665,249572,172879,18276,20538,20525,321358,223536,31520,38130,38107,576962,403305,21238,24319,24309,376560,262632,31047,36952,36945,542433,380138,39103,46821,46734,714117,498660,24194,28155,28135,437127,303710,13740,15500,15475,251523,174781,26224,30399,30414,491336,343490,29414,35019,34998,553639,386544,22115,25653,25633,411132,286486,16528,19182,19169,306981,213930,13584,15430,15410,250766,174198,12864,14581,14571,237905,165262,27154,32215,32197,514710,359850,24941,29502,29479,454793,318078,31438,37506,37482,571684,400392,39345,47117,47079,744010,515469
J00,male,20_29,17397,19300,19290,301285,206281,19022,21119,21087,342073,229824,16834,18712,18696,296929,201655,15707,17552,17517,279382,189882,12391,13769,13774,218933,147987,8947,9862,9849,159451,108470,8330,9146,9138,152262,103021,9545,10477,10475,170948,115609,14465,15954,15941,249807,170148,16349,18155,18135,279451,191236,17082,19090,19052,284669,195190,25107,27887,27874,435927,295977,17934,19989,19935,324417,219504,13422,14958,14958,240793,164345,17874,19860,19866,316983,216063,18362,20563,20541,337503,229873,14531,16282,16269,272576,184919,9909,11050,10999,189023,128663,8380,9313,9298,164508,110953,11170,12236,12207,209670,143360,16853,19079,19067,307018,211055,15481,16956,16955,286186,194550,20095,22328,22336,353073,242874,24605,27322,27292,452367,307871,29701,33236,33178,552334,375760,14578,16008,16010,272719,185682,15364,17057,17024,289659,198149,18366,20496,20493,345891,236994,15034,16683,16677,287979,196818,9707,10675,10664,190448,128854,8283,9186,9172,162878,110650,8519,9359,9348,163049,111188,14521,16121,16081,282345,192976,18517,20602,20604,342099,234457,19904,22126,22124,368735,253050,24570,27156,27147,474642,321485
J00,male,30_39,30271,34619,34614,540632,368641,34077,38900,38883,631314,423586,25791,29547,29530,461269,313946,22737,26117,26107,415427,282508,18421,20997,20960,332731,226466,13015,14661,14665,235983,160650,11810,13265,13262,217610,147004,13533,15173,15168,243279,165668,19679,22299,22290,347995,237114,24856,28444,28396,437459,299142,26231,30295,30199,456542,314088,39298,45200,45174,698011,474417,27306,31179,31170,498870,338193,20523,23357,23363,370264,253039,24489,28491,28131,446097,304913,25383,29306,29254,476061,324511,20517,23459,23385,391611,266500,14261,16161,16168,267341,182101,11501,12878,12875,217246,147745,14752,16439,16429,271910,185103,21540,24852,24809,404878,276947,22874,25628,25611,430998,292766,29386,33675,33675,531098,364950,38301,43457,43429,712430,485240,41380,47261,47263,788288,535222,22215,24943,24903,417941,284954,20525,23242,23265,388716,265863,22693,26036,26053,440322,301796,19553,22293,22224,379018,258338,13637,15475,15443,271831,185094,11066,12357,12361,221216,149844,10917,12186,12156,220758,150012,18596,20923,20898,370569,252253,25317,28758,28751,481156,330820,26402,30163,30146,506524,347710,34047,38663,38657,669343,455479
J00,male,40_49,35542,42080,42063,601236,420331,39941,47329,47255,711592,489288,27328,32566,32533,473760,330034,24459,29034,29015,429506,298055,19285,22509,22497,331764,230914,13734,16061,16055,237012,164588,11824,13627,13624,208325,144305,13196,15212,15220,230103,159192,20388,23805,23790,354036,246337,25535,30067,30006,430751,301718,27891,33019,33015,469429,328457,43700,52293,52241,762274,528684,30880,36536,36556,544243,377374,22527,26604,26569,394430,275644,27121,32375,32351,489065,341113,27895,33200,33192,512941,355672,21665,25572,25554,392268,272016,14725,17246,17228,268078,185555,11399,13248,13255,211035,145803,13905,16022,16003,254016,176402,21953,26420,26428,404649,282183,22509,26113,26019,414340,286496,32081,37859,37803,564774,394651,47071,55417,55425,853331,591868,53021,63868,63848,996877,691040,26374,30735,30690,487887,338479,21475,25093,25101,398980,277384,24130,28478,28500,453509,315153,21003,24597,24612,396351,274752,14134,16707,16674,277298,192153,10658,12427,12392,207979,143755,10444,12115,12044,201839,139869,18031,20871,20823,348474,241236,25334,29701,29698,468649,326522,28521,33681,33668,531008,370180,40948,48254,48203,788573,545158
J00,male,50_59,43289,53775,53654,703354,506132,45462,56565,56510,760352,540209,32983,40867,40830,537609,385503,27496,33926,33911,458355,326086,22486,27401,27400,375869,266747,15909,19141,19148,267313,188936,12999,15607,15553,221681,156722,13949,16512,16483,228664,162002,20659,24846,24815,337371,239390,27865,33869,33802,452721,323954,32112,39434,39417,514278,369706,49432,61696,61546,826510,588205,39523,49467,49378,672334,481249,28628,34989,35012,471876,338472,32842,40650,40635,556953,397897,32724,40412,40396,574680,407640,25505,31179,31176,452675,319789,17176,20820,20807,302203,213345,12521,15156,15147,223786,157429,14111,16704,16688,245774,173931,21656,26834,26814,385140,273723,23759,28082,28079,410428,290534,34191,41693,41647,579726,414378,53021,65021,65024,933553,661200,68409,87910,87663,1266365,897351,33021,40192,40137,578853,410553,25872,31198,31204,459437,326119,27181,33313,33294,488991,346704,24427,29667,29692,444364,314191,16305,19748,19722,299847,211198,11663,13867,13870,214439,151202,10760,12802,12807,202874,143443,17162,20328,20323,316151,222580,27796,33534,33493,490225,350176,32644,39571,39512,572513,409781,45309,55276,55244,819232,580357
J00,male,60_69,42980,56820,56785,672104,521801,43993,58216,58196,706528,542855,33496,44092,44025,530351,408377,27438,35386,35371,442416,337047,22966,29349,29351,368737,280674,16009,20267,20256,262306,198614,12697,15874,15865,208062,156034,13660,17016,16989,220736,165561,20181,25176,25185,315448,240438,27297,34346,34325,421058,323724,32558,42155,42130,504070,389668,45342,60174,60104,731448,561561,39790,52758,52709,648691,502794,30948,39933,39899,488458,380423,32662,42550,42544,534977,413180,30628,39625,39588,516516,394178,24780,31766,31740,422764,322072,17204,21661,21629,294156,222818,12035,14995,14991,203863,154093,13831,17084,17057,231080,174803,20464,26253,26194,346817,265311,24276,30024,29960,403208,306329,34109,43600,43572,557450,430959,48811,63205,63212,818495,627564,63894,87507,87475,1129040,878200,35412,45410,45407,585140,457203,27598,35200,35196,471180,366064,26913,34303,34312,458585,356463,24792,31632,31626,436498,338869,16301,20686,20689,294108,226153,11900,14943,14927,209969,161212,11527,14338,14334,200751,155332,17214,21110,21105,294605,228436,29338,37242,37244,494790,387089,33602,42886,42891,566663,443374,43719,56556,56529,759346,590341
